WeekEnding,HealthBoardOfTreatment,HealthBoardOfTreatmentQF,InfluenzaAdmissions,InfluenzaAdmissionsQF,RSVAdmissions,RSVAdmissionsQF
20200510,S08000024,,0,,2,
20200510,S08000025,,0,,0,
20200510,S08000026,,0,,0,
20200510,S08000030,,0,,0,
20200510,S08000028,,0,,0,
20200510,SB0801,,,:,0,
20200510,S92000003,d,0,,8,
20200517,S08000015,,0,,1,
20200517,S08000016,,0,,0,
20200517,S08000017,,0,,0,
20200517,S08000029,,0,,0,
20200517,S08000019,,0,,0,
20200517,S08000020,,0,,3,
20200517,S08000031,,0,,0,
20200517,S08000022,,0,,0,
20200517,S08000032,,0,,1,
20200517,S08000024,,0,,0,
20200517,S08000025,,0,,0,
20200517,S08000026,,0,,0,
20200517,S08000030,,0,,0,
20200517,S08000028,,0,,0,
20200517,SB0801,,,:,0,
20200517,S92000003,d,0,,5,
20200524,S08000015,,0,,0,
20200524,S08000016,,0,,0,
20200524,S08000017,,0,,0,
20200524,S08000029,,0,,0,
20200524,S08000019,,0,,0,
20200524,S08000020,,0,,1,
20200524,S08000031,,0,,1,
20200524,S08000022,,0,,0,
20200524,S08000032,,0,,0,
20200524,S08000024,,0,,1,
20200524,S08000025,,0,,0,
20200524,S08000026,,0,,0,
20200524,S08000030,,0,,0,
20200524,S08000028,,0,,0,
20200524,SB0801,,,:,0,
20200524,S92000003,d,0,,3,
20200531,S08000015,,0,,0,
20200531,S08000016,,0,,0,
20200531,S08000017,,0,,0,
20200531,S08000029,,0,,0,
20200531,S08000019,,0,,0,
20200531,S08000020,,1,,0,
20200531,S08000031,,0,,1,
20200531,S08000022,,0,,0,
20200531,S08000032,,0,,0,
20200531,S08000024,,0,,0,
20200531,S08000025,,0,,0,
20200531,S08000026,,0,,0,
20200531,S08000030,,0,,0,
20200531,S08000028,,0,,0,
20200531,SB0801,,,:,0,
20200531,S92000003,d,1,,1,
20200607,S08000015,,0,,0,
20200607,S08000016,,0,,0,
20200607,S08000017,,0,,0,
20200607,S08000029,,0,,0,
20200607,S08000019,,0,,0,
20200607,S08000020,,0,,0,
20200607,S08000031,,0,,0,
20200607,S08000022,,0,,0,
20200607,S08000032,,0,,0,
20200607,S08000024,,0,,2,
20200607,S08000025,,0,,0,
20200607,S08000026,,0,,0,
20200607,S08000030,,0,,1,
20200607,S08000028,,0,,0,
20200607,SB0801,,,:,0,
20200607,S92000003,d,0,,3,
20200614,S08000015,,0,,0,
20200614,S08000016,,0,,0,
20200614,S08000017,,0,,0,
20200614,S08000029,,0,,1,
20200614,S08000019,,0,,1,
20200614,S08000020,,0,,0,
20200614,S08000031,,0,,1,
20200614,S08000022,,0,,0,
20200614,S08000032,,0,,0,
20200614,S08000024,,0,,0,
20200614,S08000025,,0,,0,
20200614,S08000026,,0,,0,
20200614,S08000030,,0,,0,
20200614,S08000028,,0,,0,
20200614,SB0801,,,:,0,
20200614,S92000003,d,0,,3,
20200621,S08000015,,0,,0,
20200621,S08000016,,0,,0,
20200621,S08000017,,0,,0,
20200621,S08000029,,0,,1,
20200621,S08000019,,0,,0,
20200621,S08000020,,0,,0,
20200621,S08000031,,0,,0,
20200621,S08000022,,0,,0,
20200621,S08000032,,0,,0,
20200621,S08000024,,0,,2,
20200621,S08000025,,0,,0,
20200621,S08000026,,0,,0,
20200621,S08000030,,0,,0,
20200621,S08000028,,0,,0,
20200621,SB0801,,,:,0,
20200621,S92000003,d,0,,3,
20200628,S08000015,,0,,0,
20200628,S08000016,,0,,0,
20200628,S08000017,,0,,0,
20200628,S08000029,,0,,0,
20200628,S08000019,,0,,1,
20200628,S08000020,,0,,1,
20200628,S08000031,,0,,0,
20200628,S08000022,,0,,0,
20200628,S08000032,,0,,0,
20200628,S08000024,,0,,2,
20200628,S08000025,,0,,0,
20200628,S08000026,,0,,0,
20200628,S08000030,,0,,1,
20200628,S08000028,,0,,0,
20200628,SB0801,,,:,0,
20200628,S92000003,d,0,,5,
20200705,S08000015,,0,,0,
20200705,S08000016,,0,,0,
20200705,S08000017,,0,,0,
20200705,S08000029,,1,,0,
20200705,S08000019,,0,,0,
20200705,S08000020,,0,,0,
20200705,S08000031,,0,,1,
20200705,S08000022,,0,,0,
20200705,S08000032,,0,,0,
20200705,S08000024,,0,,1,
20200705,S08000025,,0,,0,
20200705,S08000026,,0,,0,
20200705,S08000030,,0,,0,
20200705,S08000028,,0,,0,
20200705,SB0801,,,:,0,
20200705,S92000003,d,1,,2,
20200712,S08000015,,0,,0,
20200712,S08000016,,0,,0,
20200712,S08000017,,0,,0,
20200712,S08000029,,0,,0,
20200712,S08000019,,0,,0,
20200712,S08000020,,0,,1,
20200712,S08000031,,0,,0,
20200712,S08000022,,0,,1,
20200712,S08000032,,0,,0,
20200712,S08000024,,0,,0,
20200712,S08000025,,0,,0,
20200712,S08000026,,0,,0,
20200712,S08000030,,0,,1,
20200712,S08000028,,0,,0,
20200712,SB0801,,,:,0,
20200712,S92000003,d,0,,3,
20200719,S08000015,,0,,0,
20200719,S08000016,,0,,0,
20200719,S08000017,,0,,0,
20200719,S08000029,,0,,0,
20200719,S08000019,,0,,0,
20200719,S08000020,,1,,1,
20200719,S08000031,,0,,1,
20200719,S08000022,,0,,0,
20200719,S08000032,,0,,0,
20200719,S08000024,,0,,4,
20200719,S08000025,,0,,0,
20200719,S08000026,,0,,0,
20200719,S08000030,,0,,0,
20200719,S08000028,,0,,0,
20200719,SB0801,,,:,0,
20200719,S92000003,d,1,,6,
20200726,S08000015,,0,,1,
20200726,S08000016,,0,,0,
20200726,S08000017,,0,,0,
20200726,S08000029,,0,,0,
20200726,S08000019,,0,,0,
20200726,S08000020,,0,,0,
20200726,S08000031,,0,,0,
20200726,S08000022,,0,,0,
20200726,S08000032,,0,,0,
20200726,S08000024,,0,,2,
20200726,S08000025,,0,,0,
20200726,S08000026,,0,,0,
20200726,S08000030,,0,,0,
20200726,S08000028,,0,,0,
20200726,SB0801,,,:,0,
20200726,S92000003,d,0,,3,
20200802,S08000015,,0,,0,
20200802,S08000016,,0,,0,
20200802,S08000017,,0,,0,
20200802,S08000029,,0,,1,
20200802,S08000019,,0,,0,
20200802,S08000020,,0,,0,
20200802,S08000031,,0,,0,
20200802,S08000022,,0,,1,
20200802,S08000032,,0,,0,
20200802,S08000024,,0,,0,
20200802,S08000025,,0,,0,
20200802,S08000026,,0,,0,
20200802,S08000030,,0,,0,
20200802,S08000028,,0,,0,
20200802,SB0801,,,:,0,
20200802,S92000003,d,0,,2,
20200809,S08000015,,0,,0,
20200809,S08000016,,0,,0,
20200809,S08000017,,0,,0,
20200809,S08000029,,0,,0,
20200809,S08000019,,0,,0,
20200809,S08000020,,0,,2,
20200809,S08000031,,0,,0,
20200809,S08000022,,0,,0,
20200809,S08000032,,1,,0,
20200809,S08000024,,0,,1,
20200809,S08000025,,0,,0,
20200809,S08000026,,0,,0,
20200809,S08000030,,0,,0,
20200809,S08000028,,0,,0,
20200809,SB0801,,,:,0,
20200809,S92000003,d,1,,3,
20200816,S08000015,,0,,0,
20200816,S08000016,,0,,0,
20200816,S08000017,,0,,0,
20200816,S08000029,,0,,0,
20200816,S08000019,,0,,0,
20200816,S08000020,,1,,0,
20200816,S08000031,,0,,0,
20200816,S08000022,,0,,1,
20200816,S08000032,,0,,0,
20200816,S08000024,,0,,1,
20200816,S08000025,,0,,0,
20200816,S08000026,,0,,0,
20200816,S08000030,,0,,0,
20200816,S08000028,,0,,0,
20200816,SB0801,,,:,0,
20200816,S92000003,d,1,,2,
20200823,S08000015,,0,,0,
20200823,S08000016,,0,,0,
20200823,S08000017,,0,,0,
20200823,S08000029,,0,,0,
20200823,S08000019,,0,,2,
20200823,S08000020,,1,,1,
20200823,S08000031,,0,,1,
20200823,S08000022,,0,,0,
20200823,S08000032,,0,,0,
20200823,S08000024,,0,,1,
20200823,S08000025,,0,,0,
20200823,S08000026,,0,,1,
20200823,S08000030,,0,,1,
20200823,S08000028,,0,,0,
20200823,SB0801,,,:,0,
20200823,S92000003,d,1,,7,
20200830,S08000015,,0,,0,
20200830,S08000016,,0,,0,
20200830,S08000017,,0,,1,
20200830,S08000029,,0,,1,
20200830,S08000019,,0,,0,
20200830,S08000020,,0,,0,
20200830,S08000031,,0,,2,
20200830,S08000022,,0,,0,
20200830,S08000032,,1,,0,
20200830,S08000024,,0,,2,
20200830,S08000025,,0,,0,
20200830,S08000026,,0,,0,
20200830,S08000030,,0,,1,
20200830,S08000028,,0,,0,
20200830,SB0801,,,:,0,
20200830,S92000003,d,1,,7,
20200906,S08000015,,0,,1,
20200906,S08000016,,0,,0,
20200906,S08000017,,0,,0,
20200906,S08000029,,0,,0,
20200906,S08000019,,0,,1,
20200906,S08000020,,1,,0,
20200906,S08000031,,0,,0,
20200906,S08000022,,0,,0,
20200906,S08000032,,0,,0,
20200906,S08000024,,0,,1,
20200906,S08000025,,0,,0,
20200906,S08000026,,0,,0,
20200906,S08000030,,0,,0,
20200906,S08000028,,0,,0,
20200906,SB0801,,,:,0,
20200906,S92000003,d,1,,3,
20200913,S08000015,,0,,0,
20200913,S08000016,,0,,0,
20200913,S08000017,,0,,0,
20200913,S08000029,,0,,0,
20200913,S08000019,,0,,0,
20200913,S08000020,,1,,0,
20200913,S08000031,,0,,1,
20200913,S08000022,,0,,0,
20200913,S08000032,,0,,0,
20200913,S08000024,,0,,0,
20200913,S08000025,,0,,0,
20200913,S08000026,,0,,0,
20200913,S08000030,,0,,0,
20200913,S08000028,,0,,0,
20200913,SB0801,,,:,0,
20200913,S92000003,d,1,,1,
20200920,S08000015,,0,,0,
20200920,S08000016,,0,,0,
20200920,S08000017,,0,,0,
20200920,S08000029,,0,,0,
20200920,S08000019,,0,,0,
20200920,S08000020,,0,,1,
20200920,S08000031,,0,,1,
20200920,S08000022,,0,,0,
20200920,S08000032,,0,,2,
20200920,S08000024,,0,,0,
20200920,S08000025,,0,,0,
20200920,S08000026,,0,,0,
20200920,S08000030,,0,,0,
20200920,S08000028,,0,,0,
20200920,SB0801,,,:,0,
20200920,S92000003,d,0,,4,
20200927,S08000015,,0,,1,
20200927,S08000016,,0,,0,
20200927,S08000017,,0,,0,
20200927,S08000029,,0,,0,
20200927,S08000019,,0,,1,
20200927,S08000020,,1,,0,
20200927,S08000031,,0,,1,
20200927,S08000022,,0,,0,
20200927,S08000032,,0,,1,
20200927,S08000024,,0,,2,
20200927,S08000025,,0,,0,
20200927,S08000026,,0,,0,
20200927,S08000030,,0,,0,
20200927,S08000028,,0,,0,
